summary,city,state,date_time,shape,duration,stats,report_link,text,posted,city_latitude,city_location,city_longitude
"It didn't seem harmful, it was like it was observing.",Batesville,AR,1989-10-15T19:00:00,disk,8 min,"Occurred : 10/15/1989 19:00  (Entered as : 10/15/89 19:00) Reported: 12/29/2000 01:43 Posted: 3/21/2003 Location: Batesville, AR Shape: Disk Duration:8 min",http://www.nuforc.org/webreports/015/S15619.html,"It didn't seem harmful, it was like it was observing. Well I was in the house visting with some of my mom and dads friends when my little sister came running in and telling me to come outside because there was something floating in the sky. at first I thought that she was kidding so I went outside and there it was floating about 15 feet of the ground hovering over a field about a 150 yards away.  It was so beautiful it was kinda shine, and it kinda looked like what you see on tv but it was one solid object, it looked seemless. it was dark so it is hard to remember all the details, but it did have lights on the bottom. it shot up in the air about 50 feet and stop dead in its tracks then it moved to the right and stoped. then it moved to the left and stoped. and then it shot out of sight in a blink of an eye.  I thought that we were the only ones to see it but there where other people who people who saw it. ((NUFORC Note:  Date apparently is approximate.  PD))",2001-01-03T00:00:00,35.78764249999999,POINT(-91.64567999999991 35.78764249999999),-91.64567999999991
Two strange lights over Greenbrier.,Greenbrier,AR,2015-07-16T22:00:00,circle,~10 minutes,"Occurred : 7/16/2015 22:00  (Entered as : 07/17/15 22:00) Reported: 7/16/2015 8:59:47 PM 20:59 Posted: 7/17/2015 Location: Greenbrier, AR Shape: Circle Duration:~10 minutes",http://www.nuforc.org/webreports/120/S120437.html,"Two strange lights over Greenbrier Me and my wife went out to smoke and saw two objects to the west, one really bright to the left and a dimmer one to the right went in to get my mom to show her she had never see lights in that direction before we went in for 5 min went back out to see if they were there and they already had left did not see them in any direction which ruled out stars and planets they are still a mystery. ((NUFORC Note:  If the objects were not Venus and Jupiter, we do not know what the witnesses observed.  PD)) ((NUFORC Note:  Witness indicates that the date of the event is approximate.  PD))",2015-07-17T00:00:00,35.2518,POINT(-92.36769999999991 35.2518),-92.36769999999991
Multiple witnesses to stationary lights hovering. Seen from multiple location in evening sky. ((NUFORC Note:  Venus & Jupiter.  PD)),Centerton,AR,2015-07-01T22:00:00,light,current,"Occurred : 7/1/2015 22:00  (Entered as : 07012015 22:00) Reported: 7/1/2015 8:27:18 PM 20:27 Posted: 7/3/2015 Location: Centerton, AR Shape: Light Duration:current",http://www.nuforc.org/webreports/119/S119938.html,"Multiple witnesses to stationary lights hovering.  Seen from multiple location in evening sky.  Above roof tops.  One bright light with one slightly dimmer light parallel.  Can be seen from multiple cities.  Bentonville, Rogers, Centerton.  Visible for hours now. ((NUFORC Note:  Venus & Jupiter.  PD))",2015-07-03T00:00:00,36.3692,POINT(-94.3053 36.3692),-94.3053
Lights over North Tempe.,Tempe,AZ,2015-07-25T18:40:00,light,5 minutes,"Occurred : 7/25/2015 18:40  (Entered as : 07/25/2015 18:40) Reported: 7/25/2015 9:02:17 PM 21:02 Posted: 7/31/2015 Location: Tempe, AZ Shape: Light Duration:5 minutes",http://www.nuforc.org/webreports/120/S120651.html,"Lights over North Tempe My best guess is a drone.  Three steady red lights and a blinking green with an erratic flight path.  Clearly not a fixed wing or helicopter.  Difficult to tell distance, it was seen over North Tempe, south of Continental St. and east of 68th St.  It descended rapidly and vertically after a flight of about 4 minutes.",2015-07-31T00:00:00,33.414035671514505,POINT(-111.92091958939439 33.414035671514505),-111.92091958939439
Formation of about 8 to 10 dim reddish lights.,Tempe,AZ,2015-08-01T20:22:00,formation,~4 minutes,"Occurred : 8/1/2015 20:22  (Entered as : 08/01/15 20:22) Reported: 8/2/2015 3:56:08 AM 03:56 Posted: 8/6/2015 Location: Tempe, AZ Shape: Formation Duration:~4 minutes",http://www.nuforc.org/webreports/120/S120804.html,"Formation of about 8 to 10 dim reddish lights. Traveling northbound on the 101, I spotted about 8 to10 dim red lights fly slowly overhead in a wide delta formation.  The lights were small and spaced far apart traveling in an west to east direction over the US 60 interchange in between Tempe and Mesa, Arizona.   The majority of the lights faded from view by the time my vehicle passed underneath, leaving only two lights visible from my vantage point.  Very reminiscent of the Phoenix lights back in 1997.",2015-08-06T00:00:00,33.414035671514505,POINT(-111.92091958939439 33.414035671514505),-111.92091958939439
"Ten points of light flying formation in the sky over Tempe, AZ, 21:21 hrs 1 AUG 2015.",Tempe,AZ,2015-08-01T21:21:00,light,10 minutes,"Occurred : 8/1/2015 21:21  (Entered as : 08/01/15 21:21) Reported: 8/4/2015 9:53:26 PM 21:53 Posted: 8/6/2015 Location: Tempe, AZ Shape: Light Duration:10 minutes",http://www.nuforc.org/webreports/120/S120902.html,"Ten points of light flying formation in the sky over Tempe, AZ, 21:21 hrs 1 AUG 2015 We turned onto Country Club Way in Tempe, AZ, going south from Balboa, looked up, and saw an irregular formation of 10 red lights in the sky moving east.  We got an iPhone photo that caught 4 or 5 (one dot is questionable) of them.  The others had gone beyond our field of view before we could get a photo.   While their formation wasn't a regular shape, like our military pilots fly, they were moving in sync with each other.  They were small red dots, but not blinking like an aircraft's lights.  We followed as best we could, but within ten minutes, we could no longer see any.   Because Country Club Way is a residential street, we could see them much better than people driving on a main street, because of relatively less light pollution.   One of us is a retired Army Intelligence Officer, with service at NASA on the Apollo Program, and a lot of other aerospace industry experience, and a graduate (masters) engineer.  The other witness isn't trained in engineering, ! but reports the identical situation. ((CORRECTION FROM READER)) Hi, Report on 8-1-2015, time 21:21, Tempe. Looks like two versions with punctuation corrected on second one. Regards,  ((name deleted)) ((END CORRECTION)) ((NUFORC Note:  We deleted the second copy of the same report on 06FE16.))",2015-08-06T00:00:00,33.414035671514505,POINT(-111.92091958939439 33.414035671514505),-111.92091958939439
Large ball of light seen traveling across the sky and under cloudline,Sierra Vista,AZ,2015-07-20T20:38:00,light,2.5 seconds,"Occurred : 7/20/2015 20:38  (Entered as : 07/20/2015 20:38) Reported: 7/20/2015 8:49:34 PM 20:49 Posted: 7/23/2015 Location: Sierra Vista, AZ Shape: Light Duration:2.5 seconds",http://www.nuforc.org/webreports/120/S120519.html,large ball of light seen traveling across the sky and under cloudline I just got home from work leaving the store at 8:08pm and reached my home at 8:37pm to see in the sky what appeared to be a large ball of light that quickly raced across the sky. what made this not a falling star was that it traveled underneath the cloudline.,2015-07-23T00:00:00,31.575127184466034,POINT(-110.18160679611641 31.575127184466034),-110.18160679611641
"((HOAX??))  Craft in high space:  After throwing Booster, it speed up and, disappeared.",Aguila,AZ,2015-07-20T22:00:00,,10 seconds,"Occurred : 7/20/2015 22:00 Reported: 7/21/2015 10:25:42 AM 10:25 Posted: 7/23/2015 Location: Aguila, AZ Shape:  Duration:10 seconds",http://www.nuforc.org/webreports/120/S120529.html,"Craft in high space: After throwing Booster,it speed up and,disappeared. Craft higher than Commercial Jet & Larger, Faster & Brighter than Satellites.  A Burst of Bluish white light suddenly appeared above the SE of Little Dippers “dipper”part.  It looked like as if the “Craft” threw a BOOSTER on for a few seconds.  It caused the craft to speed up, three times fast it was going.  It head straight for the Northern Star.  After and additional 5-7 seconds,  Then its light went out completely.  This was NOT a meteorite!  It flew steady & straight, it had a consist (sic.  constant?) light on, after it had the boost of a few seconds. ((NUFORC Note:  Witness does not indicate a time or date for the sighting, and elects to remain totally anonymous.  Hence, we are unable to contact the source, in order to confirm the time and date.  We have assigned an arbitrary time and date above.  PD))",2015-07-23T00:00:00,33.9428,POINT(-113.1741 33.9428),-113.1741
"3 fiery colored lights in line that did not flicker, but eventually dimmed, grew bright, then dimmed and zoomed off quickly one-by-one.",Mesa,AZ,2015-07-11T20:45:00,triangle,10 minutes,"Occurred : 7/11/2015 20:45  (Entered as : 07/11/15 20:45) Reported: 7/11/2015 9:13:51 PM 21:13 Posted: 7/17/2015 Location: Mesa, AZ Shape: Triangle Duration:10 minutes",http://www.nuforc.org/webreports/120/S120313.html,"3 fiery colored lights in a line that did not flicker, but eventually dimmed, grew bright, then dimmed and zoomed off quickly one-by-one. 3 fiery-colored lights in slightly bent line formation.  Appeared to be triangular in shape, and did not flicker, stayed in same spot for several minutes until the top one dimmed, grew brighter, then dimmed again completely and began to take off at an alarming speed.  Once flying away, it flashed subtly between red and blue, but there were no ""plane wing"" lights.  Over the next ~5 minutes, the other 2 did the exact same.",2015-07-17T00:00:00,33.421264542936065,POINT(-111.772797322253 33.421264542936065),-111.772797322253
3 Bright orange lights in sky.,Queen Creek,AZ,2015-07-22T20:15:00,light,15 minutes,"Occurred : 7/22/2015 20:15  (Entered as : 07/22/15 20:15) Reported: 7/22/2015 9:38:37 PM 21:38 Posted: 7/23/2015 Location: Queen Creek, AZ Shape: Light Duration:15 minutes",http://www.nuforc.org/webreports/120/S120567.html,"Saw 3 bright orange lights in sky, 1st one appeared, 2nd appeared next to it, 3rd appeared in line formation   They veered off and disappeared.  15 minutes later we saw the lights go back to where they came from further in the distance and disappear. ((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  Witness elects to remain totally anonymous; provides no contact information.  PD))",2015-07-23T00:00:00,33.24702000000007,POINT(-111.6332933333332 33.24702000000007),-111.6332933333332
Blacked Out Disk Silently Traverses Canyon.,Cascabels,AZ,2014-11-01T03:00:00,disk,5-10,"Occurred : 11/1/2014 03:00  (Entered as : 11/01/14 03:00) Reported: 7/1/2015 9:01:39 PM 21:01 Posted: 7/3/2015 Location: Cascabels (near), AZ Shape: Disk Duration:5-10",http://www.nuforc.org/webreports/119/S119937.html,"Blacked Out Disk Silently Traverses Canyon. While on a mule deer hunt, at approximately 0300, I woke due to digestive issues.  I started walking toward the bathroom which was located north of the truck I was sleeping in.  While walking, I looked up at the sky. The sky was overcast with altocumulus, turning into altostratus.  The moon was waning, about half full, which was located behind my travel of direction.  The clouds were not thick enough to block moonlight, which made the clouds very visible. While I looked up, I saw a blacked out disk silhouetted against the clouds, no lights, traveling at a high rate of speed from the NW, heading SE.  I estimated the speed at about 500MPH.  Similar to an F16 on a strafe run.  The objects altitude I guessed to be 1000ft above ground level.  After the object disappeared over the canyon rim, I looked for a follow up disk, which did not appear.  The object never made a sound. I proceeded along my way as if I saw nothing. Until now, I had completely forgot about the event.  This is what I find strange.  I am a former Meteorological Observer, trained by the US Military.  I have seen just about all military aircraft fly both in daylight and night.  This was not one of ours.  Why then, did I not act excited or scared by what I observed, or even remember the event till 6 months later?  I treated it like a mundane viewing of an A10. Has anyone else had an experience similar to this?  My meaning, observing something like a ufo, and acting like you didn't care about it, then forgetting the sighting.  I had always wanted to see something I couldn't explain.  My reaction is not what I expected it to be.",2015-07-03T00:00:00,,,
Round disk flat bottom with a white aura around it.,Surprise,AZ,2015-03-15T12:00:00,oval,picture,"Occurred : 3/15/2015 12:00  (Entered as : March2015 12:00) Reported: 7/1/2015 7:58:45 PM 19:58 Posted: 7/3/2015 Location: Surprise (75 miles north of), AZ Shape: Oval Duration:picture",http://www.nuforc.org/webreports/119/S119942.html,Round disk flat bottom with a white aura around it. I was in the back county taken picture of jeeps coming down a hill. When I enlarge the picture there was a dot in the cloud I enlarge the dot to see it was a large disk in the sky and has a white aura around it and a flat bottom. I would like some one to look at this picture. ((NUFORC Note:  Witness indicates that the date of the sighting is approximate.  PD)),2015-07-03T00:00:00,33.63271552511418,POINT(-112.37252283105025 33.63271552511418),-112.37252283105025
Lights moving like no air craft at termendous speeds.,Lake Havasu City,AZ,2015-07-11T23:10:00,changing,10 minutes,"Occurred : 7/11/2015 23:10  (Entered as : 07/11/15 23:10) Reported: 7/12/2015 7:10:44 PM 19:10 Posted: 7/17/2015 Location: Lake Havasu City, AZ Shape: Changing Duration:10 minutes",http://www.nuforc.org/webreports/120/S120343.html,"Lights moving like no air craft at termendous speeds. Last night at 23:10, my son came in house and woke me.  He said, ""You gotta come look."" I went out look up lights mostly white but with red in them moving all over southern sky moving up down sideways at speeds that in no way were aircrafts from here. We watched for 10 mins, then I ran in house woke up my wife.  She came out saw also, but she only saw for a few seconds and it took off.",2015-07-17T00:00:00,34.50673579545463,POINT(-114.29056420454532 34.50673579545463),-114.29056420454532
I was driving at night south of Parker AZ on hwy 72 near Utting AZ and I saw a light on the left of the road I thought was blinking or,Utting,AZ,2015-07-12T01:00:00,light,20 minutes,"Occurred : 7/12/2015 01:00  (Entered as : 07/12/15 1:00) Reported: 7/14/2015 5:02:13 PM 17:02 Posted: 7/17/2015 Location: Utting, AZ Shape: Light Duration:20 minutes",http://www.nuforc.org/webreports/120/S120395.html,"I was driving at night south of Parker, AZ, on Hwy 72, near Utting, AZ, and I saw a light on the left of the road I thought was blinking or obscured by trees.  It seemed to stay the same distance from my car as I drove toward it, but finally after some distance I drove by it.   When I looked in my rear view mirrors it seemed to be following my car staying at the same distance as I drove forward.  Then I saw it turn into 3 blinking lights as if traveling up and down like an animated sign.   Then the lights seem to turn toward me and get brighter all the while staying the same distance from my car.   I got scared and did not stop to investigate and when I looked again the light had gone off",2015-07-17T00:00:00,,,
As I was driving down I-8 W at about 2:30 hrs I noticed a UFO flying in parabolic fashion with the convex point at the highway.,Yuma,AZ,2015-06-19T02:30:00,formation,2 minutes,"Occurred : 6/19/2015 02:30  (Entered as : 11/19/2015 02:30) Reported: 6/27/2015 9:52:07 PM 21:52 Posted: 7/3/2015 Location: Yuma, AZ Shape: Formation Duration:2 minutes",http://www.nuforc.org/webreports/119/S119800.html,"As I was driving down I-8 W at about 2:30 hrs I noticed a UFO flying in parabolic fashion with the convex point at the highway.  As I crossed the point of contact the UFO was at its highest point to the south.  I didn't hear any engine and could not understand why a plane would be flying so low that late at night. ((NUFORC Note:  Date in original report was flawed, so we have assigned an arbitrary date, until we hear back from the witness.  PD))",2015-07-03T00:00:00,32.70386264591438,POINT(-114.59088443579785 32.70386264591438),-114.59088443579785
We saw a glowing yellow gold object 50 to 100 yards in diameter hovering above us as though wanting to communicate.,Unknown,AZ,1969-08-15T01:00:00,circle,1-3 minutes,"Occurred : 8/15/1969 01:00  (Entered as : 8/0/69 0100) Reported: 12/13/2000 20:05 Posted: 3/21/2003 Location: Unknown, AZ Shape: Circle Duration:1-3 minutes",http://www.nuforc.org/webreports/015/S15445.html,"We saw a glowing yellow gold object 50 to 100 yards in diameter hovering above us as though wanting to communicate. My first wife and I were moving to California from Dallas in a rented U-Haul truck. We first noticed what appeared to be the moon infront and above us. I remarked on how spectacular and bright it was. We noticed after a few seconds that this object was on a collision course with us looking as though it would smash right on top of us. I stopped the truck. The object stopped. I just hovered there without motion or rocking. It was absolutely still. We got the idea that it was wanting to take us with it. We both found ourselves muttering words like, ""Go away, we don't want to go,"" etc. Suddenly it took off as though it were shot from a slingshot going straight out into the night sky as far as we could see. The object was a yellowish gold, slightly glowing. I could not make out any detail in the object. It made not noise. It scared us. It was not from this world. ((NUFORC Note:  Date is approximate.  PD))",2000-12-20T00:00:00,,,
